"","x"
"1","@WhiteHouse @patriotimigrant IT IS VERY REFRESHING TO HAVE A PRESIDENT TRUMP WHO SPEAKS HIS MIND!!!"
"2","@JEValentine72 @FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse Marries.  Well when you get that… https://t.co/T5DO65qAWb"
"3","@arizonaredsky @FLOTUS @WhiteHouse LOL<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"4","@WhiteHouse These are yur people,all the top economists see 1.7%.Not good for yur tax bill.The American people are… https://t.co/eAuC3dmh4C"
"5","Lincoln City 1 Shrewsbury 0: Imps Win Checkatrade Trophy At Wembley Thanks To Elliott Whitehouse Winner… https://t.co/lWF3Mu7sKO"
"6","@StephenMilIer this does not look like official account @TheJusticeDept @FBI @WhiteHouse"
"7","@realDonaldTrump @WhiteHouse @JustinTrudeau We wait for attack to Assad from USA
Thanks"
"8","@stephenro88 @RNRConnecticut @WhiteHouse @GingerMcQueen @RedNationRising @theory7ix @BIGSEXYYT @RNRTexas… https://t.co/xmXOYxEjLH"
"9","@POTUS @realDonaldTrump @WhiteHouse @RealJamesWoods @trumpology @dbongino @TerryLambert201 @DineshDSouza https://t.co/ODJEakOXl5"
"10","Cualquier persona, que desde su país, intente defender la Narco tiranía de maduro como forma de gobierno... Le invi… https://t.co/PrwGCHtYrW"
"11","@SwankCarpent @RealJamesWoods @TrickyN03859925 @facebook @WhiteHouse 1/ agreed! We should be able to take care of n… https://t.co/drRN4EU3jU"
"12","@SpicyFiles I think Pruitt goes too. It’s clear that @POTUS wants him in that position but it’s equally clear that… https://t.co/lIZD7r4Q9G"
"13","@realDonaldTrump @RealRomaDowney @AGJeffBSessions @RealJamesWoods @senjudiciary @WhiteHouse @MitchChins"
"14","This is where @realDonaldTrump and his satanic cohort @netanyahu are taking the world... Let that sink in...… https://t.co/sy54gZi548"
"15","@WhiteHouse @realDonaldTrump This is not winning. #MoronInChief https://t.co/kWSg4HHeXT"
"16","@Allthatjewelry @MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT Says the lady that se… https://t.co/bAGsHHFyhV"
"17","Everybody fill out this form for the President!!!!
https://t.co/iNaqeqkiNE 
 Let him know we need our workers #SAVEH2B"
"18","@WhiteHouse if you will not hit Assad today  when will you hit that animal?
My grandaughter has seen on Tv..
So sor… https://t.co/GEYevyQuta"
"19","@jclark5788 @FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse And the CNN clowns are just as funny."
"20","@_mojo_pin_ @BpGritty @madasednam @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill I pray for all of our… https://t.co/qm2CHMgYDc"
